feature,importance
rank_ratio,0.05414979478280026
form_diff_surf,0.004104343993609283
a_days_since_last,0.004016197008511635
b_days_since_last,0.0038013387323361015
b_win_rate_l10,0.0037297193069442793
a_n_matches_52w,0.0030575985455747025
first_in_diff,0.002556262567831835
a_win_rate_l10,0.0022091838140097853
ace_diff,0.002165110321460961
b_n_matches_52w,0.002137564388617963
form_diff_52w,0.0015370630526402086
df_diff,0.001322204776464675
a_win_rate_surf_52w,0.0011459108062694013
b_win_rate_52w,0.001123874059994967
win2nd_diff,0.0009751260226427139
a_win_rate_52w,0.0009585984629369104
a_sets_last_7d,0.0008759606644078488
win1st_diff,0.0007492493733299854
rank_diff,0.0007217034404869427
b_win_rate_l20,0.0006776299479381187
b_win_rate_surf_52w,0.0006555932016637067
tourney_level,0.000644574828526534
b_sets_last_7d,0.0006060105225462964
a_win_rate_l20,0.000578464589703298
h2h_p1_wins,0.00018180315676386005
round,0.00012671129107781897
h2h_total,6.060105225458301e-05
h2h_surf_p1,3.856430598019323e-05
h2h_advantage,0.0
log_rank_ratio,0.0
surface,-5.5091865686529575e-06
tour,-7.712861196049748e-05
fatigue_diff,-0.00035258794039068065
