tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-416,Munch,Clay,32,500,O,20260413,1,S0S1,2,,Ben Shelton,L,193,USA,23.51,6,3900,N0AM,,,Emilio Nava,R,185,USA,24.361,103,615,7-6(4) 3-6 6-3,3,R32,126,14,6,84,51,39,22,15,3,5,4,2,94,62,46,17,15,4,6
2026-416,Munich,Clay,32,500,O,20260413,2,C0AU,5,,Francisco Cerundolo,R,185,ARG,27.666,19,2020,N897,,,Sumit Nagal,R,178,IND,28.657,292,179,6-2 6-2,3,R32,80,2,2,60,36,27,12,8,8,8,0,1,50,37,21,6,8,6,10
2026-416,Munich,Clay,32,500,O,20260413,3,RC91,7,,Arthur Rinderknech,R,196,FRA,30.724,27,1651,M0QI,,,Alex Michelsen,R,193,USA,21.632,36,1200,6-3 6-3,3,R32,101,3,2,58,41,32,9,9,0,0,3,7,80,51,32,11,9,9,12
2026-416,Munich,Clay,32,500,O,20260413,4,D0F6,,,Gabriel Diallo,R,203,CAN,24.55,36,1175,SS25,,,Vitaliy Sachko,R,188,UKR,28.747,208,282,6-1 6-2,3,R32,76,4,2,53,38,30,7,8,5,5,2,0,45,20,11,11,7,5,9
2026-416,Munich,Clay,32,500,O,20260413,5,V812,,,Botic van de Zandschulp,R,191,NED,30.524,49,931,HH06,,,Marc-Andrea Huesler,L,196,SUI,29.802,340,148,7-6(7) 6-3,3,R32,110,2,5,71,47,32,12,10,3,5,3,2,77,41,24,17,11,6,10
2026-425,Barcelona,Clay,32,500,O,20260413,1,Q02L,,,Ethan Quinn,R,191,USA,22.086,54,911,O522,,,Reilly Opelka,R,211,USA,28.624,68,803,7-5 7-6(7),3,R32,111,8,1,83,59,50,10,12,0,0,13,6,81,50,40,16,12,7,8
2026-425,Barcelona,Clay,32,500,O,20260413,2,EA24,,,Tomas Martin Etcheverry,R,196,ARG,26.738,30,1540,D0CO,8,,Jack Draper,L,193,GBR,24.307,28,1610,3-6 6-3 4-1 RET,3,R32,105,3,4,56,29,21,17,11,1,4,3,6,69,36,24,12,12,1,6
2026-425,Barcelona,Clay,32,500,O,20260413,3,MW02,,,Corentin Moutet,L,180,FRA,26.984,31,1433,B0ID,,,Ignacio Buse,R,183,PER,22.051,60,864,6-4 6-4,3,R32,100,1,2,57,40,29,6,10,3,6,2,1,66,45,26,7,10,4,9
2026-416,Munich,Clay,32,500,O,20260413,6,B0PG,,,Alexander Blockx,R,193,BEL,21.013,71,772,H997,,,Yannick Hanfmann,R,193,GER,34.415,51,899,7-6(2) 6-2,3,R32,88,4,0,61,41,34,14,10,0,0,3,2,64,39,28,10,10,4,6
2026-425,Barcelona,Clay,32,500,O,20260413,4,J0DZ,,,Rafael Jodar,R,191,ESP,19.57,55,886,MU94,,,Jaume Munar,R,183,ESP,28.939,38,1175,6-1 6-2,3,R32,70,0,2,44,21,17,15,8,0,0,0,3,56,40,20,6,7,4,8
2026-425,Barcelona,Clay,32,500,O,20260413,5,N771,7,,Cameron Norrie,L,188,GBR,30.639,24,1778,W367,,,Stan Wawrinka,R,183,SUI,41.043,107,608,6-4 6-7(5) 6-4,3,R32,153,2,4,106,75,54,15,16,5,7,4,2,106,60,40,27,16,7,11
2026-425,Barcelona,Clay,32,500,O,20260413,6,BT72,,,Nuno Borges,R,185,POR,29.144,52,895,ME82,,,Adrian Mannarino,L,180,FRA,37.788,46,1025,6-3 6-4,3,R32,82,10,2,70,50,38,10,10,7,7,0,2,68,42,27,12,9,9,11
2026-425,Barcelona,Clay,32,500,O,20260413,7,M0JF,,,Hamad Medjedovic,R,188,SRB,22.738,88,664,TA29,,,Marco Trungelliti,R,178,ARG,36.197,79,732,7-5 6-4,3,R32,90,10,2,62,43,34,10,11,3,4,2,3,65,35,25,14,11,4,7
2026-416,Munich,Clay,32,500,O,20260414,7,Z355,1,,Alexander Zverev,R,198,GER,28.983,3,5555,KI95,,,Miomir Kecmanovic,R,183,SRB,26.62,58,875,6-3 3-6 7-6(2),3,R32,138,12,3,86,57,43,17,15,1,4,1,2,102,60,41,20,15,5,8
2026-416,Munich,Clay,32,500,O,20260414,8,MV14,,,Alex Molcan,L,178,SVK,28.367,166,376,BK92,3,,Alexander Bublik,R,196,KAZ,28.824,11,3445,6-4 6-2,3,R32,65,6,1,51,31,23,12,9,1,2,6,3,52,35,19,7,9,5,9
2026-416,Munich,Clay,32,500,O,20260414,9,C0E9,4,,Flavio Cobolli,R,183,ITA,23.94,16,2320,D0LJ,,,Diego Dedura,L,180,2H,18.09,258,210,6-4 7-5,3,R32,86,2,5,66,39,30,15,11,0,1,0,3,72,56,37,7,11,6,9
2026-416,Munich,Clay,32,500,O,20260414,10,D0FJ,6,,Luciano Darderi,R,183,ITA,24.162,21,1920,Z371,,,Zhizhen Zhang,R,193,CHN,29.492,242,230,7-6(5) 3-6 6-1,3,R32,127,8,3,89,51,37,23,14,3,6,11,2,94,64,45,11,14,7,11
2026-416,Munich,Clay,32,500,O,20260414,11,SU55,,,Denis Shapovalov,L,185,CAN,26.998,39,1120,GJ37,8,,Tallon Griekspoor,R,188,NED,29.782,32,1430,6-4 3-6 6-2,3,R32,122,3,6,82,48,31,21,14,3,6,4,4,85,56,36,13,13,8,12
2026-416,Munich,Clay,32,500,O,20260414,12,AE14,,,Daniel Altmaier,R,188,GER,27.587,56,880,C977,,,Marin Cilic,R,198,CRO,37.541,48,950,6-2 6-3,3,R32,69,9,1,49,33,27,12,9,2,2,3,2,49,31,20,8,8,1,4
2026-416,Munich,Clay,32,500,O,20260414,13,BU13,,,Zizou Bergs,R,185,BEL,26.864,40,1110,T0FI,,,Marko Topo,R,185,GER,22.585,260,208,6-1 6-4,3,R32,69,6,4,56,27,16,19,9,2,4,2,4,46,31,17,4,8,3,8
2026-416,Munich,Clay,32,500,O,20260414,14,F0FV,,,Joao Fonseca,R,188,BRA,19.647,35,1315,TE30,,,Alejandro Tabilo,L,188,CHI,28.865,45,1068,7-6(1) 6-3,3,R32,93,3,1,66,43,31,14,10,2,3,4,0,68,40,27,12,11,4,7
